index  time  position  velocity 
    0  0.00      0.00      0.00 
    1  0.01      0.00     -0.02 
    2  0.02     -0.00     -0.05 
    3  0.03     -0.00     -0.08 
    4  0.04     -0.00     -0.05 
    5  0.05     -0.00     -0.04 
    6  0.06     -0.00      0.05 
    7  0.07     -0.00     -0.06 
    8  0.08     -0.00     -0.16 
    9  0.09     -0.00     -0.18 
   10  0.10     -0.01     -0.20 
   11  0.11     -0.01     -0.24 
   12  0.12     -0.01     -0.12 
   13  0.13     -0.01     -0.11 
   14  0.14     -0.01     -0.03 
   15  0.15     -0.01     -0.01 
   16  0.16     -0.01      0.03 
   17  0.17     -0.01      0.06 
   18  0.18     -0.01      0.07 
   19  0.19     -0.01     -0.04 
   20  0.20     -0.01      0.00 
   21  0.21     -0.01      0.05 
   22  0.22     -0.01      0.08 
   23  0.23     -0.01      0.05 
   24  0.24     -0.01      0.04 
   25  0.25     -0.01      0.12 
   26  0.26     -0.01      0.13 
   27  0.27     -0.01      0.16 
   28  0.28     -0.01      0.25 
   29  0.29     -0.00      0.33 
   30  0.30     -0.00      0.29 
   31  0.31      0.00      0.46 
   32  0.32      0.01      0.57 
   33  0.33      0.01      0.51 
   34  0.34      0.02      0.46 
   35  0.35      0.02      0.56 
   36  0.36      0.03      0.42 
   37  0.37      0.03      0.44 
   38  0.38      0.04      0.50 
   39  0.39      0.04      0.41 
   40  0.40      0.05      0.29 
   41  0.41      0.05      0.17 
   42  0.42      0.05      0.12 
   43  0.43      0.05      0.05 
   44  0.44      0.05      0.08 
   45  0.45      0.05     -0.06 
   46  0.46      0.05     -0.09 
   47  0.47      0.05     -0.17 
   48  0.48      0.05     -0.18 
   49  0.49      0.05     -0.17 
   50  0.50      0.05     -0.24 
   51  0.51      0.04     -0.17 
   52  0.52      0.04     -0.24 
   53  0.53      0.04     -0.21 
   54  0.54      0.04     -0.12 
   55  0.55      0.04      0.04 
   56  0.56      0.04     -0.10 
   57  0.57      0.04     -0.12 
   58  0.58      0.03     -0.19 
   59  0.59      0.03     -0.23 
   60  0.60      0.03     -0.30 
   61  0.61      0.03     -0.29 
   62  0.62      0.02     -0.37 
   63  0.63      0.02     -0.25 
   64  0.64      0.02     -0.25 
   65  0.65      0.02     -0.16 
   66  0.66      0.01     -0.15 
   67  0.67      0.01     -0.09 
   68  0.68      0.01     -0.15 
   69  0.69      0.01     -0.11 
   70  0.70      0.01     -0.33 
   71  0.71      0.01     -0.22 
   72  0.72      0.00     -0.21 
   73  0.73      0.00     -0.07 
   74  0.74      0.00     -0.05 
   75  0.75      0.00     -0.10 
   76  0.76     -0.00     -0.08 
   77  0.77     -0.00     -0.14 
   78  0.78     -0.00     -0.15 
   79  0.79     -0.00      0.02 
   80  0.80     -0.00      0.04 
   81  0.81     -0.00      0.06 
   82  0.82     -0.00      0.11 
   83  0.83     -0.00      0.16 
   84  0.84     -0.00      0.23 
   85  0.85      0.00      0.22 
   86  0.86      0.00      0.20 
   87  0.87      0.01      0.23 
   88  0.88      0.01      0.16 
   89  0.89      0.01      0.06 
   90  0.90      0.01      0.00 
   91  0.91      0.01      0.03 
   92  0.92      0.01     -0.01 
   93  0.93      0.01     -0.03 
   94  0.94      0.01     -0.08 
   95  0.95      0.01     -0.09 
   96  0.96      0.01     -0.11 
   97  0.97      0.01     -0.18 
   98  0.98      0.01     -0.06 
   99  0.99      0.01     -0.13 
  100  1.00      0.00     -0.26 
  101  1.01      0.00     -0.42 
  102  1.02     -0.00     -0.48 
  103  1.03     -0.01     -0.42 
  104  1.04     -0.01     -0.34 
  105  1.05     -0.01     -0.51 
  106  1.06     -0.02     -0.45 
  107  1.07     -0.02     -0.59 
  108  1.08     -0.03     -0.60 
  109  1.09     -0.04     -0.67 
  110  1.10     -0.04     -0.70 
  111  1.11     -0.05     -0.77 
  112  1.12     -0.06     -0.54 
  113  1.13     -0.06     -0.48 
  114  1.14     -0.07     -0.40 
  115  1.15     -0.07     -0.44 
  116  1.16     -0.08     -0.45 
  117  1.17     -0.08     -0.34 
  118  1.18     -0.08     -0.35 
  119  1.19     -0.09     -0.37 
  120  1.20     -0.09     -0.18 
  121  1.21     -0.09     -0.21 
  122  1.22     -0.10     -0.24 
  123  1.23     -0.10     -0.38 
  124  1.24     -0.10     -0.33 
  125  1.25     -0.10     -0.30 
  126  1.26     -0.11     -0.28 
  127  1.27     -0.11     -0.23 
  128  1.28     -0.11     -0.20 
  129  1.29     -0.11     -0.16 
  130  1.30     -0.12     -0.15 
  131  1.31     -0.12     -0.27 
  132  1.32     -0.12     -0.09 
  133  1.33     -0.12      0.04 
  134  1.34     -0.12      0.13 
  135  1.35     -0.12      0.14 
  136  1.36     -0.12      0.15 
  137  1.37     -0.12      0.10 
  138  1.38     -0.12      0.16 
  139  1.39     -0.11      0.10 
  140  1.40     -0.11      0.10 
  141  1.41     -0.11      0.12 
  142  1.42     -0.11     -0.05 
  143  1.43     -0.11     -0.10 
  144  1.44     -0.11     -0.14 
  145  1.45     -0.11     -0.18 
  146  1.46     -0.12     -0.02 
  147  1.47     -0.12     -0.14 
  148  1.48     -0.12     -0.13 
  149  1.49     -0.12     -0.10 
  150  1.50     -0.12     -0.05 
  151  1.51     -0.12     -0.09 
  152  1.52     -0.12     -0.04 
  153  1.53     -0.12     -0.07 
  154  1.54     -0.12     -0.15 
  155  1.55     -0.12     -0.15 
  156  1.56     -0.13     -0.27 
  157  1.57     -0.13     -0.32 
  158  1.58     -0.13     -0.33 
  159  1.59     -0.13     -0.24 
  160  1.60     -0.14     -0.20 
  161  1.61     -0.14     -0.24 
  162  1.62     -0.14     -0.38 
  163  1.63     -0.15     -0.31 
  164  1.64     -0.15     -0.36 
  165  1.65     -0.15     -0.41 
  166  1.66     -0.16     -0.46 
  167  1.67     -0.16     -0.44 
  168  1.68     -0.16     -0.41 
  169  1.69     -0.17     -0.26 
  170  1.70     -0.17     -0.32 
  171  1.71     -0.17     -0.41 
  172  1.72     -0.18     -0.50 
  173  1.73     -0.18     -0.46 
  174  1.74     -0.19     -0.51 
  175  1.75     -0.19     -0.46 
  176  1.76     -0.20     -0.48 
  177  1.77     -0.20     -0.59 
  178  1.78     -0.21     -0.54 
  179  1.79     -0.21     -0.59 
  180  1.80     -0.22     -0.70 
  181  1.81     -0.23     -0.76 
  182  1.82     -0.23     -0.77 
  183  1.83     -0.24     -0.72 
  184  1.84     -0.25     -0.63 
  185  1.85     -0.26     -0.70 
  186  1.86     -0.26     -0.68 
  187  1.87     -0.27     -0.72 
  188  1.88     -0.28     -0.75 
  189  1.89     -0.28     -0.63 
  190  1.90     -0.29     -0.65 
  191  1.91     -0.30     -0.76 
  192  1.92     -0.30     -0.77 
  193  1.93     -0.31     -0.74 
  194  1.94     -0.32     -0.65 
  195  1.95     -0.33     -0.57 
  196  1.96     -0.33     -0.55 
  197  1.97     -0.34     -0.58 
  198  1.98     -0.34     -0.55 
  199  1.99     -0.35     -0.46 
  200  2.00     -0.35     -0.42 
  201  2.01     -0.36     -0.38 
  202  2.02     -0.36     -0.37 
  203  2.03     -0.37     -0.41 
  204  2.04     -0.37     -0.29 
  205  2.05     -0.37     -0.36 
  206  2.06     -0.38     -0.38 
  207  2.07     -0.38     -0.37 
  208  2.08     -0.38     -0.38 
  209  2.09     -0.39     -0.34 
  210  2.10     -0.39     -0.23 
  211  2.11     -0.39     -0.13 
  212  2.12     -0.39     -0.31 
  213  2.13     -0.40     -0.30 
  214  2.14     -0.40     -0.27 
  215  2.15     -0.40     -0.34 
  216  2.16     -0.41     -0.32 
  217  2.17     -0.41     -0.29 
  218  2.18     -0.41     -0.17 
  219  2.19     -0.41     -0.19 
  220  2.20     -0.42     -0.15 
  221  2.21     -0.42     -0.12 
  222  2.22     -0.42     -0.14 
  223  2.23     -0.42     -0.13 
  224  2.24     -0.42     -0.09 
  225  2.25     -0.42      0.05 
  226  2.26     -0.42      0.02 
  227  2.27     -0.42      0.07 
  228  2.28     -0.42      0.04 
  229  2.29     -0.42     -0.09 
  230  2.30     -0.42     -0.16 
  231  2.31     -0.42     -0.08 
  232  2.32     -0.42      0.01 
  233  2.33     -0.42     -0.03 
  234  2.34     -0.42      0.07 
  235  2.35     -0.42      0.04 
  236  2.36     -0.42      0.09 
  237  2.37     -0.42      0.18 
  238  2.38     -0.42      0.30 
  239  2.39     -0.42      0.42 
  240  2.40     -0.41      0.42 
  241  2.41     -0.41      0.47 
  242  2.42     -0.40      0.44 
  243  2.43     -0.40      0.51 
  244  2.44     -0.39      0.57 
  245  2.45     -0.39      0.61 
  246  2.46     -0.38      0.47 
  247  2.47     -0.38      0.34 
  248  2.48     -0.37      0.28 
  249  2.49     -0.37      0.35 
  250  2.50     -0.37      0.21 
  251  2.51     -0.37      0.21 
  252  2.52     -0.36      0.11 
  253  2.53     -0.36      0.28 
  254  2.54     -0.36      0.27 
  255  2.55     -0.36      0.13 
  256  2.56     -0.36      0.15 
  257  2.57     -0.35      0.28 
  258  2.58     -0.35      0.23 
  259  2.59     -0.35      0.12 
  260  2.60     -0.35      0.11 
  261  2.61     -0.35      0.07 
  262  2.62     -0.35      0.11 
  263  2.63     -0.35      0.14 
  264  2.64     -0.34      0.02 
  265  2.65     -0.34      0.02 
  266  2.66     -0.34     -0.05 
  267  2.67     -0.34     -0.06 
  268  2.68     -0.34     -0.05 
  269  2.69     -0.35      0.06 
  270  2.70     -0.34      0.22 
  271  2.71     -0.34      0.17 
  272  2.72     -0.34      0.10 
  273  2.73     -0.34      0.09 
  274  2.74     -0.34      0.04 
  275  2.75     -0.34      0.04 
  276  2.76     -0.34      0.13 
  277  2.77     -0.34      0.11 
  278  2.78     -0.34     -0.05 
  279  2.79     -0.34     -0.01 
  280  2.80     -0.34     -0.12 
  281  2.81     -0.34     -0.12 
  282  2.82     -0.34     -0.10 
  283  2.83     -0.34     -0.26 
  284  2.84     -0.34     -0.41 
  285  2.85     -0.35     -0.49 
  286  2.86     -0.35     -0.37 
  287  2.87     -0.36     -0.42 
  288  2.88     -0.36     -0.52 
  289  2.89     -0.36     -0.59 
  290  2.90     -0.37     -0.64 
  291  2.91     -0.38     -0.74 
  292  2.92     -0.38     -0.76 
  293  2.93     -0.39     -0.83 
  294  2.94     -0.40     -0.73 
  295  2.95     -0.41     -0.59 
  296  2.96     -0.41     -0.49 
  297  2.97     -0.42     -0.53 
  298  2.98     -0.42     -0.46 
  299  2.99     -0.43     -0.52 
  300  3.00     -0.43     -0.57 
  301  3.01     -0.44     -0.50 
  302  3.02     -0.44     -0.57 
  303  3.03     -0.45     -0.57 
  304  3.04     -0.46     -0.65 
  305  3.05     -0.46     -0.50 
  306  3.06     -0.47     -0.49 
  307  3.07     -0.47     -0.53 
  308  3.08     -0.48     -0.52 
  309  3.09     -0.48     -0.53 
  310  3.10     -0.49     -0.48 
  311  3.11     -0.49     -0.49 
  312  3.12     -0.50     -0.54 
  313  3.13     -0.50     -0.43 
  314  3.14     -0.51     -0.42 
  315  3.15     -0.51     -0.46 
  316  3.16     -0.52     -0.54 
  317  3.17     -0.52     -0.48 
  318  3.18     -0.53     -0.54 
  319  3.19     -0.53     -0.46 
  320  3.20     -0.54     -0.57 
  321  3.21     -0.54     -0.43 
  322  3.22     -0.55     -0.45 
  323  3.23     -0.55     -0.35 
  324  3.24     -0.55     -0.26 
  325  3.25     -0.56     -0.08 
  326  3.26     -0.56     -0.10 
  327  3.27     -0.56     -0.22 
  328  3.28     -0.56     -0.15 
  329  3.29     -0.56     -0.12 
  330  3.30     -0.56     -0.20 
  331  3.31     -0.57     -0.10 
  332  3.32     -0.57     -0.23 
  333  3.33     -0.57     -0.29 
  334  3.34     -0.57     -0.29 
  335  3.35     -0.57     -0.13 
  336  3.36     -0.58     -0.07 
  337  3.37     -0.58     -0.12 
  338  3.38     -0.58     -0.19 
  339  3.39     -0.58     -0.15 
  340  3.40     -0.58     -0.10 
  341  3.41     -0.58     -0.09 
  342  3.42     -0.58     -0.08 
  343  3.43     -0.58     -0.09 
  344  3.44     -0.58     -0.09 
  345  3.45     -0.59     -0.04 
  346  3.46     -0.59     -0.01 
  347  3.47     -0.59     -0.06 
  348  3.48     -0.59      0.03 
  349  3.49     -0.59      0.10 
  350  3.50     -0.59      0.14 
  351  3.51     -0.58      0.07 
  352  3.52     -0.58      0.17 
  353  3.53     -0.58      0.09 
  354  3.54     -0.58     -0.01 
  355  3.55     -0.58     -0.03 
  356  3.56     -0.58     -0.02 
  357  3.57     -0.58      0.02 
  358  3.58     -0.58     -0.04 
  359  3.59     -0.58     -0.23 
  360  3.60     -0.58     -0.29 
  361  3.61     -0.59     -0.14 
